Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
289.0,0.0,-24.852631643744942,0.0,-26.750901590408876
290.0,0.0,-22.33765449694559,0.0,-26.73441907336702
291.0,0.0,-22.38801783339266,0.0,-26.632617338942815
292.0,0.0,-22.376656696985535,0.0,-26.685594287909122
293.0,0.0,-24.720400939042197,0.0,-26.520096658559133
294.0,0.0,-26.34342812658052,0.0,-26.460139457823608
295.0,0.0,-23.951942601252238,0.0,-26.535522402340433
296.0,0.0,-26.15969311002604,0.0,-26.47679489346958
297.0,0.0,-19.256027361921852,0.0,-26.393926594199474
298.0,0.0,-19.121909586582014,0.0,-26.36753460694893
299.0,0.0,-22.302310152746443,0.0,-26.323581429690044
300.0,0.0,-19.04927587757195,0.0,-26.295112302241424
301.0,0.0,-24.25359713298226,0.0,-26.35605773612507
302.0,0.0,-17.890257593523348,0.0,-26.213569654319567
303.0,0.0,-23.96143946364139,0.0,-26.2459869419964
304.0,0.0,-30.799831837781543,0.0,-26.27333443291059
305.0,0.0,-19.82805262526786,0.0,-26.1604014687447
306.0,0.0,-31.33127806965435,0.0,-26.169786212307372
307.0,0.0,-40.80350488604728,0.0,-26.293546999689465
308.0,0.0,-22.314397197950953,0.0,-26.19969587618834
309.0,0.0,-21.771259950556207,0.0,-26.059448183933394
310.0,0.0,-43.04101598049219,0.0,-26.30529511060648
311.0,0.0,-22.029227615199655,0.0,-26.26079306433451
312.0,0.0,-20.45251770237913,0.0,-26.269478424837526
313.0,0.0,-20.404607079049665,0.0,-26.114417903903032
314.0,0.0,-16.929973222057633,0.0,-26.050193120480387
315.0,0.0,-32.356215147044004,0.0,-26.06319574337416
316.0,0.0,-35.99676899653535,0.0,-26.06011468741951
317.0,0.0,-25.075348933851373,0.0,-26.047684332441165
318.0,0.0,-28.612333555778346,0.0,-26.143352623494806
319.0,0.0,-19.79616471096034,0.0,-26.014076108897648
320.0,0.0,-31.568071808855073,0.0,-26.14294780443452
321.0,0.0,-28.766368774561577,0.0,-26.11777569368845
322.0,0.0,-24.60454777805025,0.0,-26.120928722612334
323.0,0.0,-25.24183616992507,0.0,-26.145904108466468
324.0,0.0,-21.89273115069657,0.0,-26.085692101687727
325.0,0.0,-23.29517366492301,0.0,-26.008270398462155
326.0,0.0,-26.193582108560836,0.0,-26.00111451011273
327.0,0.0,-24.330592788881308,0.0,-25.850607041183345
328.0,0.0,-20.30901235394011,0.0,-25.863445617319083
